year,series_name,match_type,match_no,match_date,match_winning_team,match_toss,innings,ball_no,over_no,ball_commentary
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,22,1,"Jamieson to Pollard, FOUR, top edge and Pollard gets lucky! The ball clears the keeper. Short slower delivery into the wicket, Pollard plays the pull early, got a thick enough edge to get the desired boundary. Kohli applauds his bowler because that wasn't the bowler's fault"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,23,1,"Jamieson to Krunal Pandya, 1 run, slower delivery on the stumps, Pandya pulls it to deep square leg"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,24,1,"Jamieson to Krunal Pandya, no run, brilliant yorker and the bat is in two pieces. Pandya swung, the handle is in the hands, but the rest of the willow broke and fell to ground. Proud moment for a bowler. Krunal sees the funny side of it"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,25,1,"Jamieson to Krunal Pandya, no ball, FOUR, short and on the stumps, Pandya pulls, not from the middle of the bat, but in the gap between deep backward square leg and deep mid-wicket. Oh he's overstepped. Will be a free-hit"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,26,1,"Jamieson to Pollard, 1 run, mistimed pull on the bounce to deep mid-wicket"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,27,1,"Jamieson to Krunal Pandya, 1 run, dropped! But is Kohli okay? Looks like the ball burst through his hands and hit him on the face. Thankfully just under his right eye. Was too casual for the catch. He switches position but doesn't go off. Brings out the smile to the relief of the RCB fans. So this was a full ball in the slot, Pandya smashed it hard. Kohli moved to the left, tried to go reverse cup style and spilled the catch"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,28,1,Kyle Jamieson [3.0-0-15-1] is back into the attack
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,29,1,"Harshal Patel to Krunal Pandya, 1 run, mistimed loft rolls to long-on as Pandya plays early"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,30,1,"Harshal Patel to Krunal Pandya, no run, plays early at this slower delivery and pushes towards cover"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Royal Challengers Bangalore,31,1,"Krunal Pandya, left handed bat, comes to the crease"
