name,href,role,profile_id
Riyan parag,https://www.cricbuzz.com/profiles/12305/riyan-parag,playing_11,12305
Shivam dube,https://www.cricbuzz.com/profiles/11195/shivam-dube,playing_11,11195
Rahul tewatia,https://www.cricbuzz.com/profiles/9693/rahul-tewatia,playing_11,9693
Chris morris,https://www.cricbuzz.com/profiles/8333/chris-morris,playing_11,8333
Shreyas gopal,https://www.cricbuzz.com/profiles/9746/shreyas-gopal,playing_11,9746
Chetan sakariya,https://www.cricbuzz.com/profiles/13494/chetan-sakariya,playing_11,13494
Mustafizur rahman,https://www.cricbuzz.com/profiles/9863/mustafizur-rahman,playing_11,9863
Kl rahul,https://www.cricbuzz.com/profiles/8733/kl-rahul,captain and wk,8733
Mayank agarwal,https://www.cricbuzz.com/profiles/2195/mayank-agarwal,playing_11,2195
Chris gayle,https://www.cricbuzz.com/profiles/247/chris-gayle,playing_11,247
Nicholas pooran,https://www.cricbuzz.com/profiles/9406/nicholas-pooran,playing_11,9406
Deepak hooda,https://www.cricbuzz.com/profiles/9427/deepak-hooda,playing_11,9427
Shahrukh khan,https://www.cricbuzz.com/profiles/10226/shahrukh-khan,playing_11,10226
Jhye richardson,https://www.cricbuzz.com/profiles/10280/jhye-richardson,playing_11,10280
Murugan ashwin,https://www.cricbuzz.com/profiles/8796/murugan-ashwin,playing_11,8796
Riley meredith,https://www.cricbuzz.com/profiles/12226/riley-meredith,playing_11,12226
Mohammed shami,https://www.cricbuzz.com/profiles/7909/mohammed-shami,playing_11,7909
Arshdeep singh,https://www.cricbuzz.com/profiles/13217/arshdeep-singh,playing_11,13217
Liam livingstone,https://www.cricbuzz.com/profiles/10045/liam-livingstone,bench,10045
Jaydev unadkat,https://www.cricbuzz.com/profiles/6327/jaydev-unadkat,bench,6327
Kartik tyagi,https://www.cricbuzz.com/profiles/13136/kartik-tyagi,bench,13136
Andrew tye,https://www.cricbuzz.com/profiles/9617/andrew-tye,bench,9617
Jofra archer,https://www.cricbuzz.com/profiles/11540/jofra-archer,bench,11540
Mayank markande,https://www.cricbuzz.com/profiles/12627/mayank-markande,bench,12627
Anuj rawat,https://www.cricbuzz.com/profiles/13135/anuj-rawat,bench,13135
Kuldip yadav,https://www.cricbuzz.com/profiles/13537/kuldip-yadav,bench,13537
Yashasvi jaiswal,https://www.cricbuzz.com/profiles/13940/yashasvi-jaiswal,bench,13940
David miller,https://www.cricbuzz.com/profiles/6349/david-miller,bench,6349
Kc cariappa,https://www.cricbuzz.com/profiles/10353/kc-cariappa,bench,10353
Mahipal lomror,https://www.cricbuzz.com/profiles/10954/mahipal-lomror,bench,10954
Akash singh,https://www.cricbuzz.com/profiles/14696/akash-singh,bench,14696
Prabhsimran singh,https://www.cricbuzz.com/profiles/14254/prabhsimran-singh,bench,14254
Moises henriques,https://www.cricbuzz.com/profiles/1437/moises-henriques,bench,1437
Chris jordan,https://www.cricbuzz.com/profiles/6532/chris-jordan,bench,6532
Mandeep singh,https://www.cricbuzz.com/profiles/6319/mandeep-singh,bench,6319
Dawid malan,https://www.cricbuzz.com/profiles/6660/dawid-malan,bench,6660
Jalaj saxena,https://www.cricbuzz.com/profiles/8107/jalaj-saxena,bench,8107
Sarfaraz khan,https://www.cricbuzz.com/profiles/9429/sarfaraz-khan,bench,9429
Fabian allen,https://www.cricbuzz.com/profiles/9785/fabian-allen,bench,9785
Saurabh kumar,https://www.cricbuzz.com/profiles/10260/saurabh-kumar,bench,10260
Ishan porel,https://www.cricbuzz.com/profiles/11404/ishan-porel,bench,11404
Utkarsh singh,https://www.cricbuzz.com/profiles/12630/utkarsh-singh,bench,12630
Darshan nalkande,https://www.cricbuzz.com/profiles/12779/darshan-nalkande,bench,12779
Harpreet brar,https://www.cricbuzz.com/profiles/14452/harpreet-brar,bench,14452
Ravi bishnoi,https://www.cricbuzz.com/profiles/14659/ravi-bishnoi,bench,14659
Daniel sams,https://www.cricbuzz.com/profiles/13162/daniel-sams,bench,13162
Aniruddha joshi,https://www.cricbuzz.com/profiles/7716/aniruddha-joshi,bench,7716
Shams mulani,https://www.cricbuzz.com/profiles/13496/shams-mulani,bench,13496
Josh hazlewood,https://www.cricbuzz.com/profiles/6258/josh-hazlewood,playing_11,6258
Roosh kalaria,https://www.cricbuzz.com/profiles/8353/roosh-kalaria,bench,8353
Wanindu hasaranga,https://www.cricbuzz.com/profiles/10926/wanindu-hasaranga,playing_11,10926
Tim southee,https://www.cricbuzz.com/profiles/1057/tim-southee,bench,1057
Dushmantha chameera,https://www.cricbuzz.com/profiles/8393/dushmantha-chameera,bench,8393
