,year,series_type,series_name,series_href
1956,2003,International,"Bangladesh in Pakistan ODI Series, 2003",https://www.cricbuzz.com/cricket-series/805/bangladesh-in-pakistan-odi-series-2003/matches
1957,2003,International,"Bangladesh in Pakistan Test Series, 2003",https://www.cricbuzz.com/cricket-series/1499/bangladesh-in-pakistan-test-series-2003/matches
1958,2003,International,"Bangladesh in Australia ODI Series, 2003",https://www.cricbuzz.com/cricket-series/804/bangladesh-in-australia-odi-series-2003/matches
1959,2003,International,"South Africa in England Test Series, 2003",https://www.cricbuzz.com/cricket-series/1500/south-africa-in-england-test-series-2003/matches
1960,2003,International,"Bangladesh in Australia Test Series, 2003",https://www.cricbuzz.com/cricket-series/1498/bangladesh-in-australia-test-series-2003/matches
1961,2003,International,"England, South Africa, Zimbabwe in England, 2003",https://www.cricbuzz.com/cricket-series/803/england-south-africa-zimbabwe-in-england-2003/matches
1962,2003,International,"Sri Lanka in West Indies Test Series, 2003",https://www.cricbuzz.com/cricket-series/1497/sri-lanka-in-west-indies-test-series-2003/matches
1963,2003,International,"Pakistan in England, 2003",https://www.cricbuzz.com/cricket-series/802/pakistan-in-england-2003/matches
1964,2003,International,"Sri Lanka in West Indies ODI Series, 2003",https://www.cricbuzz.com/cricket-series/801/sri-lanka-in-west-indies-odi-series-2003/matches
1965,2003,International,"Zimbabwe in England Test Series, 2003",https://www.cricbuzz.com/cricket-series/1496/zimbabwe-in-england-test-series-2003/matches
1966,2003,International,"Australia in West Indies ODI Series, 2003",https://www.cricbuzz.com/cricket-series/800/australia-in-west-indies-odi-series-2003/matches
1967,2003,International,"New Zealand, Pakistan, Sri Lanka in Sri Lanka, 2003",https://www.cricbuzz.com/cricket-series/799/new-zealand-pakistan-sri-lanka-in-sri-lanka-2003/matches
1968,2003,International,"New Zealand in Sri Lanka Test Series, 2003",https://www.cricbuzz.com/cricket-series/1494/new-zealand-in-sri-lanka-test-series-2003/matches
1969,2003,International,"South Africa in Bangladesh Test Series, 2003",https://www.cricbuzz.com/cricket-series/1493/south-africa-in-bangladesh-test-series-2003/matches
1970,2003,International,"Bangladesh, India, South Africa in Bangladesh, 2003",https://www.cricbuzz.com/cricket-series/798/bangladesh-india-south-africa-in-bangladesh-2003/matches
1971,2003,International,"Australia in West Indies, 2003",https://www.cricbuzz.com/cricket-series/1495/australia-in-west-indies-2003/matches
1972,2003,International,"Kenya, Pakistan, Sri Lanka, Zimbabwe in United Arab Emirates, 2003",https://www.cricbuzz.com/cricket-series/797/kenya-pakistan-sri-lanka-zimbabwe-in-united-arab-emirates-2003/matches
1973,2003,International,"ICC World Cup, 2003",https://www.cricbuzz.com/cricket-series/796/icc-world-cup-2003/matches
1974,2003,Women,"New Zealand Women tour of India, 2003-04",https://www.cricbuzz.com/cricket-series/3783/new-zealand-women-tour-of-india-2003-04/matches
1975,2003,Women,"South Africa Women tour of England, 2003",https://www.cricbuzz.com/cricket-series/4660/south-africa-women-tour-of-england-2003/matches
1976,2003,Women,"International Women's Cricket Council Trophy, 2003",https://www.cricbuzz.com/cricket-series/6424/international-womens-cricket-council-trophy-2003/matches
1977,2003,Women,Sri Lanka Women tour of West Indies 2003,https://www.cricbuzz.com/cricket-series/6053/sri-lanka-women-tour-of-west-indies-2003/matches
1978,2003,Women,"England Women tour of Australia, 2002-03",https://www.cricbuzz.com/cricket-series/3823/england-women-tour-of-australia-2002-03/matches
1979,2003,Women,World Series of Women's Cricket 2003,https://www.cricbuzz.com/cricket-series/6197/world-series-of-womens-cricket-2003/matches
1980,2004,International,Sri Lanka in New Zealand ODI Series,https://www.cricbuzz.com/cricket-series/836/sri-lanka-in-new-zealand-odi-series/matches
1981,2004,International,"India in Bangladesh ODI Series, 2004",https://www.cricbuzz.com/cricket-series/835/india-in-bangladesh-odi-series-2004/matches
1982,2004,International,"England in South Africa, 2004-05",https://www.cricbuzz.com/cricket-series/1529/england-in-south-africa-2004-05/matches
1983,2004,International,"Pakistan in Australia Test Series, 2004-05",https://www.cricbuzz.com/cricket-series/1527/pakistan-in-australia-test-series-2004-05/matches
1984,2004,International,"India in Bangladesh Test Series, 2004",https://www.cricbuzz.com/cricket-series/1526/india-in-bangladesh-test-series-2004/matches
1985,2004,International,"New Zealand in Australia, 2004",https://www.cricbuzz.com/cricket-series/834/new-zealand-in-australia-2004/matches
1986,2004,International,"England in Zimbabwe ODI Series, 2004",https://www.cricbuzz.com/cricket-series/833/england-in-zimbabwe-odi-series-2004/matches
1987,2004,International,"South Africa in India Test Series, 2004",https://www.cricbuzz.com/cricket-series/1525/south-africa-in-india-test-series-2004/matches
1988,2004,International,"New Zealand in Australia, 2004",https://www.cricbuzz.com/cricket-series/1524/new-zealand-in-australia-2004/matches
1989,2004,International,"Pakistan in India, 2004",https://www.cricbuzz.com/cricket-series/832/pakistan-in-india-2004/matches
1990,2004,International,"New Zealand in Bangladesh ODI Series, 2004",https://www.cricbuzz.com/cricket-series/831/new-zealand-in-bangladesh-odi-series-2004/matches
1991,2004,International,"Sri Lanka in Pakistan Test Series, 2004",https://www.cricbuzz.com/cricket-series/1522/sri-lanka-in-pakistan-test-series-2004/matches
1992,2004,International,"New Zealand in Bangladesh Test Series, 2004",https://www.cricbuzz.com/cricket-series/1521/new-zealand-in-bangladesh-test-series-2004/matches
1993,2004,International,"Australia in India, 2004",https://www.cricbuzz.com/cricket-series/1523/australia-in-india-2004/matches
1994,2004,International,"Pakistan, Sri Lanka, Zimbabwe in Pakistan, 2004",https://www.cricbuzz.com/cricket-series/830/pakistan-sri-lanka-zimbabwe-in-pakistan-2004/matches
1995,2004,International,"ICC Champions Trophy, 2004",https://www.cricbuzz.com/cricket-series/829/icc-champions-trophy-2004/matches
1996,2004,International,"Australia, Pakistan in England, 2004",https://www.cricbuzz.com/cricket-series/827/australia-pakistan-in-england-2004/matches
1997,2004,International,"Australia, India, Pakistan in Netherlands, 2004",https://www.cricbuzz.com/cricket-series/825/australia-india-pakistan-in-netherlands-2004/matches
1998,2004,International,"South Africa in Sri Lanka ODI Series, 2004",https://www.cricbuzz.com/cricket-series/826/south-africa-in-sri-lanka-odi-series-2004/matches
1999,2004,International,"South Africa in Sri Lanka Test Series, 2004",https://www.cricbuzz.com/cricket-series/1519/south-africa-in-sri-lanka-test-series-2004/matches
2000,2004,International,"West Indies in England, 2004",https://www.cricbuzz.com/cricket-series/1520/west-indies-in-england-2004/matches
2001,2004,International,"Asia Cup, 2004",https://www.cricbuzz.com/cricket-series/824/asia-cup-2004/matches
2002,2004,International,"Sri Lanka in Australia Test Series, 2004",https://www.cricbuzz.com/cricket-series/1518/sri-lanka-in-australia-test-series-2004/matches
2003,2004,International,"England, New Zealand, West Indies in England, 2004",https://www.cricbuzz.com/cricket-series/823/england-new-zealand-west-indies-in-england-2004/matches
2004,2004,International,"England, India, Wales in England, 2004",https://www.cricbuzz.com/cricket-series/828/england-india-wales-in-england-2004/matches
2005,2004,International,"Bangladesh in West Indies Test Series, 2004",https://www.cricbuzz.com/cricket-series/1516/bangladesh-in-west-indies-test-series-2004/matches
2006,2004,International,"Australia in Zimbabwe ODI Series, 2004",https://www.cricbuzz.com/cricket-series/822/australia-in-zimbabwe-odi-series-2004/matches
2007,2004,International,"New Zealand in England Test Series, 2004",https://www.cricbuzz.com/cricket-series/1517/new-zealand-in-england-test-series-2004/matches
2008,2004,International,"Bangladesh in West Indies ODI Series, 2004",https://www.cricbuzz.com/cricket-series/821/bangladesh-in-west-indies-odi-series-2004/matches
2009,2004,International,"Sri Lanka in Zimbabwe Test Series, 2004",https://www.cricbuzz.com/cricket-series/1515/sri-lanka-in-zimbabwe-test-series-2004/matches
2010,2004,International,"Sri Lanka in Zimbabwe ODI Series, 2004",https://www.cricbuzz.com/cricket-series/819/sri-lanka-in-zimbabwe-odi-series-2004/matches
2011,2004,International,"England in West Indies ODI Series, 2004",https://www.cricbuzz.com/cricket-series/820/england-in-west-indies-odi-series-2004/matches
2012,2004,International,"India in Pakistan Test Series, 2004",https://www.cricbuzz.com/cricket-series/1514/india-in-pakistan-test-series-2004/matches
2013,2004,International,"India in Pakistan ODI Series, 2004",https://www.cricbuzz.com/cricket-series/818/india-in-pakistan-odi-series-2004/matches
2014,2004,International,"England in West Indies, 2004",https://www.cricbuzz.com/cricket-series/1513/england-in-west-indies-2004/matches
2015,2004,International,"South Africa in New Zealand Test Series, 2004",https://www.cricbuzz.com/cricket-series/1512/south-africa-in-new-zealand-test-series-2004/matches
